Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url
2021,Sassuolo,Serie A,team,28,26.5,60.3,38,418,3420,38,61,36,97,48,13,14,79,4,58.4,47.7,34,81.8,770,1746,1.61,0.95,2.55,1.26,2.21,1.54,0.9,2.43,1.26,2.15,https://fbref.com/en/squads/e2befd26/2020-2021/Sassuolo-Stats
2021,Schalke 04,Bundesliga,team,42,25.9,44.7,34,374,3060,34,24,20,44,24,0,3,74,2,28.7,26.3,20.6,46.9,452,943,0.71,0.59,1.29,0.71,1.29,0.84,0.61,1.45,0.77,1.38,https://fbref.com/en/squads/c539e393/2020-2021/Schalke-04-Stats
2021,Sevilla,La Liga,team,26,28.1,60.9,38,418,3420,38,52,36,88,46,6,7,79,2,54.4,48.9,41,90,691,1627,1.37,0.95,2.32,1.21,2.16,1.43,1.08,2.51,1.29,2.37,https://fbref.com/en/squads/ad2be733/2020-2021/Sevilla-Stats
2021,Sheffield Utd,Premier League,team,27,26.7,41.7,38,418,3420,38,19,13,32,16,3,4,73,3,32.6,29.5,24.9,54.4,491,1196,0.5,0.34,0.84,0.42,0.76,0.86,0.66,1.52,0.78,1.43,https://fbref.com/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
2021,Southampton,Premier League,team,29,26.6,52,38,418,3420,38,47,33,80,42,5,6,52,3,41.2,36.6,25.8,62.5,626,1195,1.24,0.87,2.11,1.11,1.97,1.09,0.68,1.77,0.96,1.64,https://fbref.com/en/squads/33c895d4/2020-2021/Southampton-Stats
2021,Spezia,Serie A,team,35,25.2,51.9,38,418,3420,38,52,37,89,48,4,5,100,5,46.5,42.6,31.1,73.7,625,1388,1.37,0.97,2.34,1.26,2.24,1.22,0.82,2.04,1.12,1.94,https://fbref.com/en/squads/68449f6d/2020-2021/Spezia-Stats
2021,Strasbourg,Ligue 1,team,26,26.8,45.7,38,418,3420,38,49,26,75,39,10,12,58,3,52.8,43.4,32.1,75.5,538,1301,1.29,0.68,1.97,1.03,1.71,1.39,0.84,2.23,1.14,1.99,https://fbref.com/en/squads/c0d3eab4/2020-2021/Strasbourg-Stats
2021,Stuttgart,Bundesliga,team,29,24.1,51.5,34,374,3060,34,54,42,96,48,6,8,65,2,51.4,45.1,37.1,82.2,701,1467,1.59,1.24,2.82,1.41,2.65,1.51,1.09,2.6,1.33,2.42,https://fbref.com/en/squads/598bc722/2020-2021/Stuttgart-Stats
2021,Torino,Serie A,team,29,26.9,47.3,38,418,3420,38,49,28,77,44,5,6,78,4,50,45.3,32.2,77.5,617,1138,1.29,0.74,2.03,1.16,1.89,1.32,0.85,2.16,1.19,2.04,https://fbref.com/en/squads/105360fe/2020-2021/Torino-Stats
2021,Tottenham,Premier League,team,24,27.2,51.6,38,418,3420,38,66,50,116,61,5,5,57,2,53.1,49.2,35.3,84.4,633,1330,1.74,1.32,3.05,1.61,2.92,1.4,0.93,2.33,1.29,2.22,https://fbref.com/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
2021,Udinese,Serie A,team,33,27.2,46.3,38,418,3420,38,40,30,70,36,4,4,65,2,45.7,42.9,30,72.9,672,1405,1.05,0.79,1.84,0.95,1.74,1.2,0.79,1.99,1.13,1.92,https://fbref.com/en/squads/04eea015/2020-2021/Udinese-Stats
2021,Union Berlin,Bundesliga,team,27,27.3,44.9,34,374,3060,34,50,39,89,45,5,7,57,2,46.9,41.3,33.4,74.7,464,1059,1.47,1.15,2.62,1.32,2.47,1.38,0.98,2.36,1.22,2.2,https://fbref.com/en/squads/7a41008f/2020-2021/Union-Berlin-Stats
2021,Valencia,La Liga,team,30,25.2,46.9,38,418,3420,38,48,35,83,40,8,10,82,5,42.6,34.8,27.2,62.1,576,1180,1.26,0.92,2.18,1.05,1.97,1.12,0.72,1.84,0.92,1.63,https://fbref.com/en/squads/dcc91a7b/2020-2021/Valencia-Stats
2021,Valladolid,La Liga,team,32,28.1,45.2,38,418,3420,38,34,21,55,27,7,8,93,4,40.1,33.8,24.2,58,564,1101,0.89,0.55,1.45,0.71,1.26,1.05,0.64,1.69,0.89,1.53,https://fbref.com/en/squads/17859612/2020-2021/Valladolid-Stats
2021,Villarreal,La Liga,team,29,28,55.2,38,418,3420,38,57,33,90,45,12,13,67,5,56.4,46.4,40.5,86.9,737,1628,1.5,0.87,2.37,1.18,2.05,1.48,1.06,2.55,1.22,2.29,https://fbref.com/en/squads/2a8183b3/2020-2021/Villarreal-Stats
2021,Werder Bremen,Bundesliga,team,27,26.3,43.9,34,374,3060,34,35,25,60,30,5,5,67,3,32.9,29,21.5,50.5,414,1065,1.03,0.74,1.76,0.88,1.62,0.97,0.63,1.6,0.85,1.49,https://fbref.com/en/squads/62add3bf/2020-2021/Werder-Bremen-Stats
2021,West Brom,Premier League,team,30,26.4,37.9,38,418,3420,38,33,20,53,29,4,4,51,4,35.8,32.7,24.4,57.1,441,1027,0.87,0.53,1.39,0.76,1.29,0.94,0.64,1.59,0.86,1.5,https://fbref.com/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
2021,West Ham,Premier League,team,24,27.8,43.2,38,418,3420,38,60,46,106,58,2,4,50,3,55.4,52.1,39.6,91.7,659,1282,1.58,1.21,2.79,1.53,2.74,1.46,1.04,2.5,1.37,2.41,https://fbref.com/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
2021,Wolfsburg,Bundesliga,team,26,25.6,51.1,34,374,3060,34,57,48,105,55,2,3,58,3,49,46.9,37.7,84.5,595,1397,1.68,1.41,3.09,1.62,3.03,1.44,1.11,2.55,1.38,2.49,https://fbref.com/en/squads/4eaa11d7/2020-2021/Wolfsburg-Stats
2021,Wolves,Premier League,team,27,26.3,49.3,38,418,3420,38,34,21,55,30,4,4,55,1,36.5,33.4,24.1,57.6,800,1283,0.89,0.55,1.45,0.79,1.34,0.96,0.63,1.6,0.88,1.51,https://fbref.com/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
